Timestamp,Price,LDP
1738317630,1768.69,9
1738317632,1768.89,9
1738317634,1769.31,1
1738317636,1770.14,4
1738317638,1771.37,7
1738317640,1770.95,5
1738317642,1771.27,7
1738317644,1771.34,4
1738317646,1770.37,7
1738317648,1770.16,6
1738317650,1769.2,0
1738317652,1769.65,5
1738317654,1770.12,2
1738317656,1770.1,0
1738317658,1770.32,2
1738317660,1771.06,6
1738317662,1770.95,5
1738317664,1770.4,0
1738317666,1769.88,8
1738317668,1769.95,5
1738317670,1770.73,3
1738317672,1771,0
1738317674,1770.55,5
1738317676,1771.33,3
1738317678,1771.38,8
1738317680,1771.19,9
1738317682,1771.15,5
1738317684,1771.23,3
1738317686,1771.11,1
1738317688,1771.49,9
1738317690,1770.81,1
1738317692,1770.63,3
1738317694,1770.37,7
1738317696,1770.4,0
1738317698,1770.36,6
1738317700,1770.65,5
1738317702,1771.1,0
1738317704,1771.08,8
1738317706,1771.05,5
1738317708,1770.99,9
1738317710,1771.44,4
1738317712,1772.09,9
1738317714,1771.46,6
1738317716,1771.4,0
1738317718,1771.12,2
1738317720,1771.06,6
1738317722,1771.31,1
1738317724,1771.39,9
1738317726,1771.67,7
1738317728,1771.48,8
1738317730,1771.6,0
1738317732,1771.38,8
1738317734,1771.01,1
1738317736,1771.17,7
1738317738,1771.2,0
1738317740,1770.63,3
1738317742,1771.63,3
1738317744,1772.1,0
1738317746,1771.81,1
1738317748,1771.93,3
1738317750,1771.44,4
1738317752,1771.35,5
1738317754,1771.52,2
1738317756,1771.79,9
1738317758,1772.49,9
1738317760,1772.3,0
1738317762,1772.48,8
1738317764,1771.55,5
1738317766,1772.08,8
1738317768,1771.41,1
1738317770,1771.4,0
1738317772,1770.9,0
1738317774,1771.22,2
1738317776,1771.68,8
1738317778,1770.99,9
1738317780,1770.53,3
1738317782,1770.75,5
1738317784,1770.42,2
1738317786,1770.15,5
1738317788,1769.64,4
1738317790,1769.29,9
1738317792,1768.88,8
1738317794,1769.63,3
1738317796,1770.3,0
1738317798,1770.44,4
1738317800,1770.45,5
1738317802,1770.79,9
1738317804,1771.32,2
1738317806,1771.86,6
1738317808,1772.37,7
1738317810,1772.07,7
1738317812,1771.95,5
1738317814,1772.09,9
1738317816,1772.32,2
1738317818,1773.22,2
1738317820,1772.97,7
1738317822,1773.42,2
1738317824,1773.13,3
1738317826,1772.76,6
1738317828,1772.56,6
1738317830,1772.74,4
1738317832,1772.63,3
1738317834,1772.63,3
1738317836,1772.36,6
1738317838,1772.46,6
1738317840,1772.83,3
1738317842,1773.1,0
1738317844,1773.17,7
1738317846,1772.76,6
1738317848,1772.89,9
1738317850,1773.12,2
1738317852,1773.13,3
1738317854,1773.49,9
1738317856,1773.24,4
1738317858,1774.04,4
1738317860,1774.28,8
1738317862,1774.47,7
1738317864,1775.85,5
1738317866,1775.81,1
1738317868,1776.18,8
1738317870,1776.03,3
1738317872,1776.02,2
1738317874,1776.96,6
1738317876,1777.24,4
1738317878,1777.2,0
1738317880,1777.28,8
1738317882,1776.68,8
1738317884,1776.32,2
1738317886,1776.08,8
1738317888,1776.42,2
1738317890,1776.55,5
1738317892,1776.93,3
1738317894,1776.81,1
1738317896,1777.02,2
1738317898,1777.19,9
1738317900,1777.63,3
1738317902,1777.22,2
1738317904,1777.34,4
1738317906,1777.17,7
1738317908,1777.78,8
1738317910,1777.66,6
1738317912,1777.86,6
1738317914,1777.41,1
1738317916,1777.56,6
1738317918,1777.53,3
1738317920,1777.85,5
1738317922,1778.04,4
1738317924,1777.74,4
1738317926,1778.19,9
1738317928,1778.53,3
1738317930,1779.05,5
1738317932,1779.3,0
1738317934,1779.49,9
1738317936,1778.81,1
1738317938,1778.86,6
1738317940,1779.09,9
1738317942,1779.38,8
1738317944,1779.34,4
1738317946,1779.09,9
1738317948,1779.53,3
1738317950,1779.37,7
1738317952,1778.54,4
1738317954,1778.33,3
1738317956,1779.26,6
1738317958,1779.3,0
1738317960,1779.29,9
1738317962,1779.38,8
1738317964,1778.99,9
1738317966,1779.61,1
1738317968,1779.82,2
1738317970,1780.28,8
1738317972,1780.61,1
1738317974,1780.73,3
1738317976,1781.03,3
1738317978,1780.83,3
1738317980,1780.41,1
1738317982,1780.73,3
1738317984,1780.33,3
1738317986,1780.43,3
1738317988,1780.34,4
1738317990,1780.18,8
1738317992,1779.54,4
1738317994,1779.58,8
1738317996,1779.19,9
1738317998,1779.56,6
1738318000,1779.96,6
1738318002,1778.91,1
1738318004,1778.41,1
1738318006,1779.03,3
1738318008,1779.1,0
1738318010,1779.08,8
1738318012,1778.75,5
1738318014,1779,0
1738318016,1778.29,9
1738318018,1777.82,2
1738318020,1777.61,1
1738318022,1777.57,7
1738318024,1777.91,1
1738318026,1777.89,9
1738318028,1777.5,0
1738318030,1777.28,8
1738318032,1776.4,0
1738318034,1776.15,5
1738318036,1775.15,5
1738318038,1775.11,1
1738318040,1775.38,8
1738318042,1776.12,2
1738318044,1776.59,9
1738318046,1776.46,6
1738318048,1776.58,8
1738318050,1776.13,3
1738318052,1776.18,8
1738318054,1776.09,9
1738318056,1775.74,4
1738318058,1775.45,5
1738318060,1775.08,8
1738318062,1774.9,0
1738318064,1773.87,7
1738318066,1774.77,7
1738318068,1774.82,2
1738318070,1775.47,7
1738318072,1775.29,9
1738318074,1774.95,5
1738318076,1774.96,6
1738318078,1775.43,3
1738318080,1775.49,9
1738318082,1776.21,1
1738318084,1776.01,1
1738318086,1775.88,8
1738318088,1776,0
1738318090,1775.83,3
1738318092,1775.08,8
1738318094,1775.43,3
1738318096,1775.93,3
1738318098,1776.04,4
1738318100,1776.1,0
1738318102,1775.99,9
1738318104,1776.81,1
1738318106,1776.95,5
1738318108,1777.54,4
1738318110,1778.06,6
1738318112,1778.08,8
1738318114,1777.6,0
1738318116,1777.82,2
1738318118,1778.16,6
1738318120,1778.17,7
1738318122,1779.34,4
1738318124,1779.79,9
1738318126,1779.99,9
1738318128,1779.55,5
1738318130,1779.17,7
1738318132,1778.95,5
1738318134,1779.26,6
1738318136,1779.18,8
1738318138,1778.9,0
1738318140,1778.71,1
1738318142,1779.33,3
1738318144,1779.17,7
1738318146,1778.88,8
1738318148,1779.37,7
1738318150,1779.22,2
1738318152,1778.68,8
1738318154,1779.76,6
1738318156,1779.46,6
1738318158,1779.8,0
1738318160,1778.69,9
1738318162,1779.59,9
1738318164,1779.35,5
1738318166,1779.62,2
1738318168,1779.34,4
1738318170,1778.76,6
1738318172,1779.68,8
1738318174,1780.09,9
1738318176,1780,0
1738318178,1780.75,5
1738318180,1780.6,0
1738318182,1780.65,5
1738318184,1781.18,8
1738318186,1782.1,0
1738318188,1782.4,0
1738318190,1782.45,5
1738318192,1781.46,6
1738318194,1781.44,4
1738318196,1781.72,2
1738318198,1781.63,3
1738318200,1782.25,5
1738318202,1781.95,5
1738318204,1781.04,4
1738318206,1780.08,8
1738318208,1780.14,4
1738318210,1780.95,5
1738318212,1780.95,5
1738318214,1781.62,2
1738318216,1782.5,0
1738318218,1782.3,0
1738318220,1782.44,4
1738318222,1782.45,5
1738318224,1782.63,3
1738318226,1782.87,7
1738318228,1782.9,0
1738318230,1783.17,7
1738318232,1783.61,1
1738318234,1783.91,1
1738318236,1783.43,3
1738318238,1784.03,3
1738318240,1784.48,8
1738318242,1785.06,6
1738318244,1785.07,7
1738318246,1784.74,4
1738318248,1784.83,3
1738318250,1784.5,0
1738318252,1783.59,9
1738318254,1783.68,8
1738318256,1784.08,8
1738318258,1784.37,7
1738318260,1784.78,8
1738318262,1784.95,5
1738318264,1784.57,7
1738318266,1784.64,4
1738318268,1784.56,6
1738318270,1784.46,6
1738318272,1784.47,7
1738318274,1784.95,5
1738318276,1784.26,6
1738318278,1784.28,8
1738318280,1785.31,1
1738318282,1784.35,5
1738318284,1783.82,2
1738318286,1784.74,4
1738318288,1784.55,5
1738318290,1785.31,1
1738318292,1785.26,6
1738318294,1785.55,5
1738318296,1785.34,4
1738318298,1785.35,5
1738318300,1786.02,2
1738318302,1786.53,3
1738318304,1786.16,6
1738318306,1785.23,3
1738318308,1785,0
1738318310,1784.96,6
1738318312,1784.48,8
1738318314,1784.85,5
1738318316,1784.93,3
1738318318,1785.22,2
1738318320,1785.29,9
1738318322,1785.91,1
1738318324,1785.35,5
1738318326,1786.11,1
1738318328,1786.37,7
1738318330,1786.45,5
1738318332,1786.87,7
1738318334,1787.19,9
1738318336,1787.23,3
1738318338,1787.99,9
1738318340,1787.63,3
1738318342,1788.57,7
1738318344,1787.91,1
1738318346,1788.07,7
1738318348,1787.47,7
1738318350,1787.47,7
1738318352,1787.86,6
1738318354,1788.07,7
1738318356,1788.52,2
1738318358,1788.42,2
1738318360,1788.06,6
1738318362,1788.47,7
1738318364,1787.65,5
1738318366,1787.58,8
1738318368,1787.6,0
1738318370,1787.28,8
1738318372,1788.12,2
1738318374,1788.46,6
1738318376,1788.91,1
1738318378,1788.73,3
1738318380,1788.91,1
1738318382,1789.65,5
1738318384,1790.36,6
1738318386,1790.68,8
1738318388,1790.62,2
1738318390,1790.58,8
1738318392,1790.43,3
1738318394,1790.17,7
1738318396,1790.18,8
1738318398,1790.71,1
1738318400,1790.88,8
1738318402,1791,0
1738318404,1790.71,1
1738318406,1790.09,9
1738318408,1789.51,1
1738318410,1789.17,7
1738318412,1789.55,5
1738318414,1789.94,4
1738318416,1790.14,4
1738318418,1790.37,7
1738318420,1790.8,0
1738318422,1790.92,2
1738318424,1791.8,0
1738318426,1791.23,3
1738318428,1790.89,9
1738318430,1790.72,2
1738318432,1790.17,7
1738318434,1790.11,1
1738318436,1789.61,1
1738318438,1789.1,0
1738318440,1789.51,1
1738318442,1789.94,4
1738318444,1791.02,2
1738318446,1790.95,5
1738318448,1790.43,3
1738318450,1790.26,6
1738318452,1790.34,4
1738318454,1790.14,4
1738318456,1790.64,4
1738318458,1790.16,6
1738318460,1790.53,3
1738318462,1790.27,7
1738318464,1790.09,9
1738318466,1790.1,0
1738318468,1790.2,0
1738318470,1790.42,2
1738318472,1790.51,1
1738318474,1791,0
1738318476,1790.98,8
1738318478,1790.81,1
1738318480,1790.28,8
1738318482,1790.45,5
1738318484,1790.56,6
1738318486,1789.87,7
1738318488,1790.46,6
1738318490,1790.74,4
1738318492,1790.49,9
1738318494,1790.19,9
1738318496,1790.25,5
1738318498,1790.06,6
1738318500,1790.68,8
1738318502,1790.37,7
1738318504,1790.37,7
1738318506,1791.05,5
1738318508,1791.13,3
1738318510,1791.39,9
1738318512,1791.82,2
1738318514,1792.02,2
1738318516,1791.31,1
1738318518,1790.58,8
1738318520,1790.22,2
1738318522,1790.93,3
1738318524,1790.44,4
